config	Structure mad	Structure acc	Structure macro-F1	Lexicon mad	Lexicon acc	Lexicon macro-F1	Syntax mad	Syntax acc	Syntax macro-F1	Semantics mad	Semantics acc	Semantics macro-F1
(('word_count', 'no_agg'), ('sentence_count', 'no_agg'), ('sentence_length', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('word_length', (('p', None), ('q', None), ('type', 'max'))), ('word_syllables', (('p', None), ('q', None), ('type', 'max'))), ('complexity', (('p', None), ('q', None), ('type', 'max'))), ('lexical_frequency', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('age_of_acquisition', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('lexical_diversity', 'no_agg'), ('parse_depth', (('p', None), ('q', None), ('type', 'max'))), ('max_size_subordination', 'no_agg'), ('ratio_subordination_per_token', 'no_agg'), ('ratio_subordination_per_verb', 'no_agg'), ('total_token_ratio_subordination', 'no_agg'), ('max_size_np_pp_modifiers', 'no_agg'), ('max_size_passive', 'no_agg'), ('ratio_passive_per_token', 'no_agg'), ('ratio_passive_per_verb', 'no_agg'), ('total_token_ratio_passive', 'no_agg'), ('max_size_coordination', 'no_agg'), ('ratio_coordination_per_token', 'no_agg'), ('total_token_ratio_coordination', 'no_agg'), ('max_size_aux_verbs', 'no_agg'), ('ratio_aux_verbs_per_token', 'no_agg'), ('ratio_aux_verbs_per_verb', 'no_agg'), ('total_token_ratio_aux_verbs', 'no_agg'), ('concrete_ratio', 'no_agg'))	0.62	0.456	0.157	0.614	0.456	0.163	0.612	0.43	0.15	0.612	0.43	0.15
(('word_count', 'no_agg'), ('sentence_count', 'no_agg'), ('sentence_length', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('word_length', (('p', None), ('q', None), ('type', 'max'))), ('word_syllables', (('p', None), ('q', None), ('type', 'max'))), ('complexity', (('p', None), ('q', None), ('type', 'max'))), ('lexical_frequency', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('age_of_acquisition', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('lexical_diversity', 'no_agg'), ('parse_depth', (('p', None), ('q', None), ('type', 'max'))), ('max_size_subordination', 'no_agg'), ('ratio_subordination_per_token', 'no_agg'), ('ratio_subordination_per_verb', 'no_agg'), ('total_token_ratio_subordination', 'no_agg'), ('max_size_np_pp_modifiers', 'no_agg'), ('max_size_passive', 'no_agg'), ('ratio_passive_per_token', 'no_agg'), ('ratio_passive_per_verb', 'no_agg'), ('total_token_ratio_passive', 'no_agg'), ('max_size_coordination', 'no_agg'), ('ratio_coordination_per_token', 'no_agg'), ('total_token_ratio_coordination', 'no_agg'), ('max_size_aux_verbs', 'no_agg'), ('ratio_aux_verbs_per_token', 'no_agg'), ('ratio_aux_verbs_per_verb', 'no_agg'), ('total_token_ratio_aux_verbs', 'no_agg'), ('concrete_ratio', 'no_agg'))	0.62	0.456	0.157	0.614	0.456	0.163	0.612	0.43	0.15	0.612	0.43	0.15
(('word_count', 'no_agg'), ('sentence_count', 'no_agg'), ('sentence_length', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('word_length', (('p', None), ('q', None), ('type', 'max'))), ('word_syllables', (('p', None), ('q', None), ('type', 'max'))), ('complexity', (('p', None), ('q', None), ('type', 'max'))), ('lexical_frequency', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('age_of_acquisition', (('p', 0), ('q', None), ('type', 'generalized_mean'))), ('lexical_diversity', 'no_agg'), ('parse_depth', (('p', None), ('q', None), ('type', 'max'))), ('max_size_subordination', 'no_agg'), ('ratio_subordination_per_token', 'no_agg'), ('ratio_subordination_per_verb', 'no_agg'), ('total_token_ratio_subordination', 'no_agg'), ('max_size_np_pp_modifiers', 'no_agg'), ('max_size_passive', 'no_agg'), ('ratio_passive_per_token', 'no_agg'), ('ratio_passive_per_verb', 'no_agg'), ('total_token_ratio_passive', 'no_agg'), ('max_size_coordination', 'no_agg'), ('ratio_coordination_per_token', 'no_agg'), ('total_token_ratio_coordination', 'no_agg'), ('max_size_aux_verbs', 'no_agg'), ('ratio_aux_verbs_per_token', 'no_agg'), ('ratio_aux_verbs_per_verb', 'no_agg'), ('total_token_ratio_aux_verbs', 'no_agg'), ('concrete_ratio', 'no_agg'))	0.62	0.456	0.157	0.614	0.456	0.163	0.612	0.43	0.15	0.612	0.43	0.15
