config	Structure mad	Structure qwk	Structure acc	Structure macro-F1	Lexicon mad	Lexicon qwk	Lexicon acc	Lexicon macro-F1	Syntax mad	Syntax qwk	Syntax acc	Syntax macro-F1	Semantics mad	Semantics qwk	Semantics acc	Semantics macro-F1
(random_state: 42, prior: uniform, aggregation_type: mean+std, extra: kmeans++)	0.617	0.604	0.483	0.422	0.583	0.658	0.5	0.446	0.7	0.565	0.4	0.412	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.617	0.574	0.5	0.434	0.567	0.621	0.55	0.47	0.6	0.646	0.45	0.437	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.55	0.636	0.533	0.461	0.55	0.635	0.55	0.451	0.633	0.627	0.417	0.395	1.033	0.347	0.283	0.255
(random_state: 42, prior: uniform, aggregation_type: full, extra: kmeans++)	0.617	0.59	0.483	0.421	0.5	0.65	0.6	0.475	0.55	0.684	0.483	0.489	1.033	0.347	0.283	0.255
(random_state: 42, prior: empirical, aggregation_type: mean, extra: kmeans++)	0.567	0.603	0.533	0.451	0.6	0.466	0.433	0.341	0.667	0.588	0.417	0.43	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std, extra: kmeans++)	0.533	0.617	0.55	0.46	0.583	0.631	0.5	0.459	0.633	0.581	0.45	0.461	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.617	0.574	0.5	0.434	0.567	0.621	0.55	0.47	0.617	0.63	0.433	0.413	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.55	0.636	0.533	0.461	0.55	0.635	0.55	0.451	0.633	0.627	0.417	0.395	0.617	0.396	0.4	0.261
(random_state: 42, prior: empirical, aggregation_type: full, extra: kmeans++)	0.617	0.59	0.483	0.421	0.5	0.65	0.6	0.475	0.55	0.676	0.483	0.493	0.617	0.396	0.4	0.261
(random_state: 22, prior: uniform, aggregation_type: mean, extra: kmeans++)	0.633	0.593	0.45	0.391	0.833	0.429	0.367	0.348	0.7	0.564	0.383	0.403	1.1	0.289	0.267	0.235
(random_state: 22, prior: uniform, aggregation_type: mean+std, extra: kmeans++)	0.583	0.614	0.533	0.469	0.683	0.604	0.417	0.386	0.683	0.55	0.383	0.406	1.1	0.289	0.267	0.235
(random_state: 22, prior: uniform, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.633	0.579	0.45	0.377	0.683	0.582	0.45	0.418	0.65	0.609	0.417	0.423	1.1	0.289	0.267	0.235
(random_state: 22, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.633	0.585	0.467	0.409	0.65	0.605	0.467	0.429	0.6	0.583	0.45	0.476	1.1	0.289	0.267	0.235
(random_state: 22, prior: uniform, aggregation_type: full, extra: kmeans++)	0.567	0.618	0.533	0.463	0.567	0.63	0.533	0.443	0.6	0.61	0.433	0.456	1.1	0.289	0.267	0.235
(random_state: 22, prior: empirical, aggregation_type: mean, extra: kmeans++)	0.5	0.603	0.567	0.447	0.833	0.256	0.3	0.249	0.633	0.582	0.433	0.458	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: mean+std, extra: kmeans++)	0.517	0.611	0.6	0.509	0.717	0.578	0.383	0.365	0.683	0.55	0.383	0.406	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.633	0.579	0.45	0.377	0.683	0.582	0.45	0.418	0.65	0.609	0.417	0.423	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.633	0.585	0.467	0.409	0.65	0.605	0.467	0.429	0.6	0.583	0.45	0.476	0.6	0.425	0.417	0.292
(random_state: 22, prior: empirical, aggregation_type: full, extra: kmeans++)	0.567	0.618	0.533	0.463	0.567	0.63	0.533	0.443	0.6	0.61	0.433	0.456	0.6	0.425	0.417	0.292
(random_state: 2, prior: uniform, aggregation_type: mean, extra: kmeans++)	0.65	0.614	0.45	0.399	0.7	0.518	0.483	0.446	0.7	0.53	0.433	0.426	1.033	0.338	0.283	0.254
(random_state: 2, prior: uniform, aggregation_type: mean+std, extra: kmeans++)	0.65	0.617	0.433	0.382	0.717	0.555	0.45	0.397	0.733	0.505	0.4	0.41	1.033	0.338	0.283	0.254
(random_state: 2, prior: uniform, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.633	0.545	0.5	0.431	0.683	0.589	0.45	0.423	0.6	0.646	0.45	0.46	1.033	0.338	0.283	0.254
(random_state: 2, prior: uniform, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.633	0.579	0.483	0.423	0.6	0.633	0.5	0.45	0.567	0.687	0.467	0.469	1.033	0.338	0.283	0.254
(random_state: 2, prior: uniform, aggregation_type: full, extra: kmeans++)	0.55	0.607	0.567	0.488	0.65	0.597	0.483	0.448	0.6	0.659	0.45	0.455	1.033	0.338	0.283	0.254
(random_state: 2, prior: empirical, aggregation_type: mean, extra: kmeans++)	0.567	0.594	0.517	0.423	0.517	0.55	0.533	0.419	0.717	0.455	0.417	0.405	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: mean+std, extra: kmeans++)	0.55	0.62	0.533	0.441	0.567	0.55	0.517	0.463	0.7	0.519	0.383	0.385	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: mean+std+per+skew, extra: kmeans++)	0.633	0.545	0.5	0.431	0.683	0.589	0.45	0.423	0.6	0.638	0.45	0.463	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: mean+std+max+per+skew, extra: kmeans++)	0.633	0.579	0.483	0.423	0.6	0.633	0.5	0.45	0.567	0.687	0.467	0.469	0.6	0.425	0.417	0.292
(random_state: 2, prior: empirical, aggregation_type: full, extra: kmeans++)	0.55	0.607	0.567	0.488	0.65	0.597	0.483	0.448	0.6	0.659	0.45	0.455	0.6	0.425	0.417	0.292
